Water potential measurements [Gimmi et al., WRR 33(4), p. 589-598, April 1997]
time        2cm     5cm    10cm    20cm    40cm    80cm
0.00000 -12.019  -6.998 -6.1793 -5.7146 -4.1159 -2.0879
0.15279  -9.053  -6.998 -5.4631 -5.7146 -3.9338 -2.0879
0.88195 -14.829  -8.194 -6.5360 -5.3585 -3.7513 -2.0879
1.16320 -14.673  -9.041 -6.7141 -5.7146 -3.7513 -2.0879
1.92360 -16.234 -10.384 -7.7778 -6.4237 -3.7513 -2.0879
2.12150 -17.170 -10.384 -7.9544 -6.4237 -3.9338 -2.8448
2.88820 -17.951 -11.214 -8.6583 -7.1289 -4.2977 -2.0879
3.16320 -19.668 -11.214 -8.6583 -7.1289 -4.2977 -2.0879
5.86110 -20.136 -13.019 -9.8818 -8.3533 -4.8410 -2.8448
6.86110 -20.136 -13.182 -10.229 -8.0047 -5.2015 -2.6556
8.06940 -21.697 -13.668 -11.095 -8.3533 -5.0214 -2.6556
8.96530 -21.385 -13.830 -10.922 -8.5273 -5.5607 -2.8448
9.10770 -21.541 -13.830 -11.267 -8.1792 -5.3813 -2.8448
9.85070 -21.072 -13.991 -11.095 -8.5273 -5.0214 -2.8448
12.8922 -20.448 -14.634 -11.954 -9.2205 -5.5607 -3.2232
13.9442 -20.448 -14.953 -11.954 -9.2205 -5.9184 -2.8448
14.8782 -21.072 -15.272 -12.638 -9.2205 -5.9184 -3.2232
15.8712 -21.541 -15.113 -12.126 -9.3932 -5.9184 -3.2232
17.0032 -21.697 -15.272 -12.297 -9.3932 -5.9184 -3.0340
19.8822 -21.385 -15.907 -12.638 -9.2205 -5.9184 -3.2232
21.9232 -22.009 -15.907 -12.979 -9.5656 -5.9184 -3.6016
23.8892 -23.258 -16.223 -13.318 -9.5656 -5.9184 -3.4124
30.9342 -23.570 -16.851 -13.657 -9.9097 -6.2748 -3.6016
37.8922 -24.819 -17.164 -13.995 -10.253 -6.6299 -3.9801
40.8542 -24.194 -17.476 -14.332 -10.253 -6.9836 -4.7369
42.9232 -24.819 -17.476 -14.332 -10.253 -7.3359 -4.3585
44.9232 -25.443 -17.631 -14.669 -10.595 -7.3359 -4.5477
48.0482 -25.443 -18.096 -14.669 -10.253 -7.5115 -5.1153
49.8892 -25.131 -17.941 -14.669 -10.595 -7.6868 -5.1153
51.8712 -26.380 -18.096 -14.837 -10.936 -7.5115 -5.3046
55.9302 -26.380 -18.096 -14.837 -10.936 -7.8618 -5.4938
58.0242 -26.692 -18.559 -15.171 -11.615 -8.2107 -5.4938
62.9822 -25.131 -17.786 -14.332 -10.766 -8.3850 -5.4940
65.8712 -25.755 -18.096 -14.164 -11.106 -8.2110 -5.8720
65.8712 -25.443 -17.941 -14.164 -11.106 -8.3850 -5.8720
70.0662 -25.443 -17.941 -14.332 -11.276 -8.5580 -6.0610
73.1422 -25.287 -17.941 -14.501 -11.106 -8.5580 -5.8720
77.9962 -26.067 -18.250 -14.669 -11.615 -8.7310 -6.0610
79.9412 -25.755 -18.096 -14.332 -11.276 -8.3850 -6.0610
83.9932 -27.004 -18.405 -14.332 -11.276 -8.7310 -6.6290

